assessment_name,url,remote_support,adaptive_support,duration,test_type,description
Verify G+ (Interactive),https://www.shl.com/solutions/products/assessments/verify-g-interactive/,Yes,Yes,36,Cognitive,"Adaptive general ability test combining numerical, verbal, and inductive reasoning."
Verify Interactive - Numerical Reasoning,https://www.shl.com/solutions/products/assessments/verify-interactive-numerical-reasoning/,Yes,Yes,17,Cognitive,Measures ability to make correct decisions or inferences from numerical data.
Verify Interactive - Verbal Reasoning,https://www.shl.com/solutions/products/assessments/verify-interactive-verbal-reasoning/,Yes,Yes,17,Cognitive,Assesses ability to evaluate the logic of written information.
Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/assessments/verify-interactive-inductive-reasoning/,Yes,Yes,24,Cognitive,Measures the ability to draw inferences and understand relationships between concepts.
Verify Interactive - Deductive Reasoning,https://www.shl.com/solutions/products/assessments/verify-interactive-deductive-reasoning/,Yes,Yes,20,Cognitive,Evaluates the ability to draw logical conclusions from provided information.
Verify Interactive - Checking,https://www.shl.com/solutions/products/assessments/verify-interactive-checking/,Yes,Yes,8,Cognitive,Assesses the ability to check and compare information quickly and accurately.
Verify Interactive - Calculation,https://www.shl.com/solutions/products/assessments/verify-interactive-calculation/,Yes,Yes,10,Cognitive,Tests basic arithmetic and mathematical calculation speed and accuracy.
Verify Numerical Reasoning,https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning/,Yes,No,25,Cognitive,Non-adaptive numerical reasoning test for graduate and professional roles.
Verify Verbal Reasoning,https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning/,Yes,No,19,Cognitive,Non-adaptive verbal reasoning test evaluating comprehension and logic of text.
Verify Inductive Reasoning,https://www.shl.com/solutions/products/assessments/verify-inductive-reasoning/,Yes,No,24,Cognitive,Measures conceptual and analytical thinking through abstract patterns.
Graduate Numerical Reasoning,https://www.shl.com/solutions/products/assessments/graduate-numerical-reasoning/,Yes,No,25,Cognitive,Numerical reasoning assessment designed for graduate-level recruitment.
Graduate Verbal Reasoning,https://www.shl.com/solutions/products/assessments/graduate-verbal-reasoning/,Yes,No,30,Cognitive,Verbal reasoning assessment designed for graduate-level recruitment.
Graduate Inductive Reasoning,https://www.shl.com/solutions/products/assessments/graduate-inductive-reasoning/,Yes,No,25,Cognitive,Inductive reasoning assessment targeting graduate-level candidates.
Graduate Diagrammatic Reasoning,https://www.shl.com/solutions/products/assessments/graduate-diagrammatic-reasoning/,Yes,No,20,Cognitive,Evaluates logical problem-solving using diagrams and flowcharts.
General Ability Screening,https://www.shl.com/solutions/products/assessments/general-ability-screening/,Yes,No,12,Cognitive,Quick general cognitive ability screen for high-volume hiring.
Numerical Comprehension,https://www.shl.com/solutions/products/assessments/numerical-comprehension/,Yes,No,18,Cognitive,"Tests understanding of tables, graphs, and statistical data."
Verbal Comprehension,https://www.shl.com/solutions/products/assessments/verbal-comprehension/,Yes,No,18,Cognitive,"Assesses vocabulary, grammar, and reading comprehension."
Abstract Reasoning,https://www.shl.com/solutions/products/assessments/abstract-reasoning/,Yes,No,20,Cognitive,Measures fluid intelligence through non-verbal pattern recognition.
Mechanical Comprehension,https://www.shl.com/solutions/products/assessments/mechanical-comprehension/,Yes,No,20,Cognitive,Tests understanding of basic mechanical and physical principles.
Spatial Reasoning,https://www.shl.com/solutions/products/assessments/spatial-reasoning/,Yes,No,20,Cognitive,Evaluates ability to visualise and manipulate shapes in two and three dimensions.
Critical Reasoning Test Battery - Verbal,https://www.shl.com/solutions/products/assessments/critical-reasoning-test-battery-verbal/,Yes,No,30,Cognitive,Advanced verbal critical reasoning for managerial and professional roles.
Critical Reasoning Test Battery - Numerical,https://www.shl.com/solutions/products/assessments/critical-reasoning-test-battery-numerical/,Yes,No,25,Cognitive,Advanced numerical critical reasoning for managerial and professional roles.
Critical Reasoning Test Battery - Diagrammatic,https://www.shl.com/solutions/products/assessments/critical-reasoning-test-battery-diagrammatic/,Yes,No,20,Cognitive,Diagrammatic series testing logical reasoning with abstract shapes.
Work Skills Series - Verbal,https://www.shl.com/solutions/products/assessments/work-skills-series-verbal/,Yes,No,12,Cognitive,Entry-level verbal skills screening for operational roles.
Work Skills Series - Numerical,https://www.shl.com/solutions/products/assessments/work-skills-series-numerical/,Yes,No,12,Cognitive,Entry-level numerical skills screening for operational roles.
Work Skills Series - Checking,https://www.shl.com/solutions/products/assessments/work-skills-series-checking/,Yes,No,8,Cognitive,Entry-level checking speed and accuracy for administrative roles.
Information Processing Speed,https://www.shl.com/solutions/products/assessments/information-processing-speed/,Yes,No,5,Cognitive,Rapid information processing and comparison task.
Calculation Ability,https://www.shl.com/solutions/products/assessments/calculation-ability/,Yes,No,10,Cognitive,Basic arithmetic computation test for clerical and operational roles.
Error Checking,https://www.shl.com/solutions/products/assessments/error-checking/,Yes,No,8,Cognitive,Tests ability to detect errors in data entry and record keeping.
Data Interpretation,https://www.shl.com/solutions/products/assessments/data-interpretation/,Yes,No,18,Cognitive,Assesses ability to interpret and draw conclusions from complex data sets.
Logical Analysis,https://www.shl.com/solutions/products/assessments/logical-analysis/,Yes,No,15,Cognitive,Evaluates deductive logic and syllogistic reasoning.
Perceptual Speed,https://www.shl.com/solutions/products/assessments/perceptual-speed/,Yes,No,7,Cognitive,Measures speed and accuracy in comparing and classifying visual information.
Concentration Test,https://www.shl.com/solutions/products/assessments/concentration-test/,Yes,No,10,Cognitive,Sustained attention and accuracy test for detail-oriented roles.
Number Series,https://www.shl.com/solutions/products/assessments/number-series/,Yes,No,12,Cognitive,Identifies patterns in numerical sequences to test quantitative reasoning.
Figure Classification,https://www.shl.com/solutions/products/assessments/figure-classification/,Yes,No,15,Cognitive,Categorises abstract figures to measure non-verbal reasoning.
Verify Numerical Reasoning (UK Norms),https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning-uk-norms/,Yes,Yes,17,Cognitive,Numerical reasoning with UK-normed scoring tables.
Verify Verbal Reasoning (UK Norms),https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning-uk-norms/,Yes,Yes,17,Cognitive,Verbal reasoning with UK-normed scoring tables.
Verify Numerical Reasoning (US Norms),https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning-us-norms/,Yes,Yes,17,Cognitive,Numerical reasoning with US-normed scoring tables.
Verify Verbal Reasoning (US Norms),https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning-us-norms/,Yes,Yes,17,Cognitive,Verbal reasoning with US-normed scoring tables.
Verify Numerical Reasoning (Global Norms),https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning-global-norms/,Yes,Yes,17,Cognitive,Numerical reasoning with Global-normed scoring tables.
