query,rank,assessment_name,url,test_type,duration,remote_support,adaptive_support,score
I need a cognitive ability test for a graduate software engineer,1,Graduate Verbal Reasoning,https://www.shl.com/solutions/products/assessments/graduate-verbal-reasoning/,Cognitive,30,Yes,No,0.3925
I need a cognitive ability test for a graduate software engineer,2,Graduate Situational Judgement Test,https://www.shl.com/solutions/products/assessments/graduate-situational-judgement-test/,Behavioral,25,Yes,No,0.3922
I need a cognitive ability test for a graduate software engineer,3,Graduate Numerical Reasoning,https://www.shl.com/solutions/products/assessments/graduate-numerical-reasoning/,Cognitive,25,Yes,No,0.3898
I need a cognitive ability test for a graduate software engineer,4,Graduate Inductive Reasoning,https://www.shl.com/solutions/products/assessments/graduate-inductive-reasoning/,Cognitive,25,Yes,No,0.3647
I need a cognitive ability test for a graduate software engineer,5,Adaptive Verbal Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-verbal-reasoning-graduate/,Cognitive,20,Yes,Yes,0.3622
I need a cognitive ability test for a graduate software engineer,6,Adaptive Numerical Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-numerical-reasoning-graduate/,Cognitive,20,Yes,Yes,0.36
I need a cognitive ability test for a graduate software engineer,7,Adaptive Inductive Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-inductive-reasoning-graduate/,Cognitive,22,Yes,Yes,0.3453
I need a cognitive ability test for a graduate software engineer,8,General Ability Screening,https://www.shl.com/solutions/products/assessments/general-ability-screening/,Cognitive,12,Yes,No,0.3318
I need a cognitive ability test for a graduate software engineer,9,Verify Numerical Reasoning,https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning/,Cognitive,25,Yes,No,0.3034
I need a cognitive ability test for a graduate software engineer,10,Verify G+ (Interactive),https://www.shl.com/solutions/products/assessments/verify-g-interactive/,Cognitive,36,Yes,Yes,0.297
Personality assessment for a sales manager,1,Sales Personality Questionnaire,https://www.shl.com/solutions/products/assessments/sales-personality-questionnaire/,Personality,20,Yes,No,0.657
Personality assessment for a sales manager,2,Sales Pitch Simulation,https://www.shl.com/solutions/products/assessments/sales-pitch-simulation/,Simulation,15,Yes,No,0.3078
Personality assessment for a sales manager,3,Biodata Questionnaire - Sales,https://www.shl.com/solutions/products/assessments/biodata-questionnaire-sales/,Biodata & Interview,15,Yes,No,0.2925
Personality assessment for a sales manager,4,Big Five – Conscientiousness Assessment,https://www.shl.com/solutions/products/assessments/big-five-conscientiousness-assessment/,Personality,8,Yes,No,0.2485
Personality assessment for a sales manager,5,Big Five – Agreeableness Assessment,https://www.shl.com/solutions/products/assessments/big-five-agreeableness-assessment/,Personality,8,Yes,No,0.2485
Personality assessment for a sales manager,6,Big Five – Extraversion Assessment,https://www.shl.com/solutions/products/assessments/big-five-extraversion-assessment/,Personality,8,Yes,No,0.2485
Personality assessment for a sales manager,7,OPQ32r,https://www.shl.com/solutions/products/assessments/opq32r/,Personality,25,Yes,No,0.2318
Personality assessment for a sales manager,8,Leadership Impact Assessment,https://www.shl.com/solutions/products/assessments/leadership-impact-assessment/,Personality,25,Yes,No,0.2238
Personality assessment for a sales manager,9,Big Five – Openness to Experience Assessment,https://www.shl.com/solutions/products/assessments/big-five-openness-to-experience-assessment/,Personality,8,Yes,No,0.2073
Personality assessment for a sales manager,10,Big Five – Emotional Stability Assessment,https://www.shl.com/solutions/products/assessments/big-five-emotional-stability-assessment/,Personality,8,Yes,No,0.2073
Python programming test for a data analyst,1,Python Programming (Senior Level),https://www.shl.com/solutions/products/assessments/python-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.7358
Python programming test for a data analyst,2,Python Programming (Mid Level),https://www.shl.com/solutions/products/assessments/python-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.7351
